ds,y
2020-04-08,11.885
2020-04-09,11.463
2020-04-10,11.745
2020-04-11,11.864
2020-04-12,11.923
2020-04-13,11.899
2020-04-14,11.841
2020-04-15,11.801
2020-04-16,11.765
2020-04-17,11.543
2020-04-18,11.519
2020-04-19,12.478
2020-04-20,12.482
2020-04-21,13.401
2020-04-22,13.681
2020-04-23,12.754
2020-04-24,14.869
2020-04-25,15.886
2020-04-26,16.929
2020-04-27,17.135
2020-04-28,17.265
2020-04-29,17.289
2020-04-30,17.429
2020-05-01,17.587
2020-05-02,17.59
2020-05-03,17.601
2020-05-04,17.581
2020-05-05,18.659
2020-05-06,18.686
2020-05-07,17.719
2020-05-08,18.245
2020-05-09,17.924
2020-05-10,17.91
2020-05-11,17.927
2020-05-12,17.938
2020-05-13,17.927
2020-05-14,17.915
2020-05-15,17.927
2020-05-16,17.919
2020-05-17,17.906
2020-05-18,17.942
2020-05-19,17.937
2020-05-20,18.926
2020-05-21,18.901
2020-05-22,19.856
2020-05-23,18.634
2020-05-24,20.628
2020-05-25,21.616
2020-05-26,21.619
2020-05-27,20.62
2020-05-28,21.618
2020-05-29,21.923
2020-05-30,20.765
2020-05-31,20.006
2020-06-01,19.017
2020-06-02,19.325
2020-06-03,18.079
2020-06-04,18.167
2020-06-05,18.187
2020-06-06,18.181
2020-06-07,18.176
2020-06-08,18.156
2020-06-09,18.143
2020-06-10,17.987
2020-06-11,17.538
2020-06-12,17.48
2020-06-13,17.401
2020-06-14,17.378
2020-06-15,17.367
2020-06-16,17.274
2020-06-17,17.19
2020-06-18,16.187
2020-06-19,16.534
2020-06-20,16.161
2020-06-21,17.152
2020-06-22,17.091
2020-06-23,16.987
2020-06-24,16.91
2020-06-25,16.891
2020-06-26,16.923
2020-06-27,16.943
2020-06-28,17.305
2020-06-29,17.529
2020-06-30,17.519
2020-07-01,17.51
2020-07-02,17.498
2020-07-03,17.483
2020-07-04,17.481
2020-07-05,17.428
2020-07-06,17.685
2020-07-07,17.72
2020-07-08,17.786
2020-07-09,17.798
2020-07-10,17.865
2020-07-11,18.276
2020-07-12,18.251
2020-07-13,18.201
2020-07-14,18.197
2020-07-15,18.163
2020-07-16,17.897
2020-07-17,17.584
2020-07-18,17.516
2020-07-19,17.189
2020-07-20,16.987
2020-07-21,16.843
2020-07-22,16.865
2020-07-23,16.869
2020-07-24,16.878
2020-07-25,16.842
2020-07-26,16.729
2020-07-27,16.898
2020-07-28,16.978
2020-07-29,15.023
2020-07-30,14.845
2020-07-31,14.052
2020-08-01,12.673
2020-08-02,13.401
2020-08-03,12.569
2020-08-04,13.504
2020-08-05,14.49
2020-08-06,15.452
2020-08-07,15.382
2020-08-08,16.874
2020-08-09,16.31
2020-08-10,16.312
2020-08-11,16.289
2020-08-12,16.178
2020-08-13,16.139
2020-08-14,16.109
2020-08-15,16.089
2020-08-16,15.876
2020-08-17,15.564
2020-08-18,15.438
2020-08-19,15.387
2020-08-20,15.276
2020-08-21,15.082
2020-08-22,14.89
2020-08-23,14.598
2020-08-24,14.601
2020-08-25,14.657
2020-08-26,14.876
2020-08-27,14.729
2020-08-28,14.701
2020-08-29,14.993
2020-08-30,14.985
2020-08-31,14.723
2020-09-01,14.719
2020-09-02,14.683
2020-09-03,14.647
2020-09-04,14.678
2020-09-05,14.691
2020-09-06,14.653
2020-09-07,14.638
2020-09-08,14.626
2020-09-09,14.601
2020-09-10,14.581
2020-09-11,14.617
2020-09-12,15.014
2020-09-13,15.198
2020-09-14,15.218
2020-09-15,15.287
2020-09-16,15.301
2020-09-17,15.398
2020-09-18,15.403
2020-09-19,15.428
2020-09-20,15.449
2020-09-21,15.437
2020-09-22,15.502
2020-09-23,15.876
2020-09-24,15.987
2020-09-25,15.835
2020-09-26,15.832
2020-09-27,15.79
2020-09-28,15.781
2020-09-29,15.845
2020-09-30,15.897
2020-10-01,15.908
2020-10-02,15.832
2020-10-03,15.789
2020-10-04,15.765
2020-10-05,15.739
2020-10-06,15.743
2020-10-07,15.729
2020-10-08,15.751
2020-10-09,15.773
2020-10-10,15.75
2020-10-11,15.749
2020-10-12,15.732
2020-10-13,15.753
2020-10-14,15.853
2020-10-15,15.894
2020-10-16,16.109
2020-10-17,16.693
2020-10-18,16.985
2020-10-19,17.002
2020-10-20,17.104
2020-10-21,16.976
2020-10-22,17.189
2020-10-23,17.213
2020-10-24,17.218
2020-10-25,17.197
2020-10-26,17.181
2020-10-27,17.174
2020-10-28,17.168
2020-10-29,17.157
2020-10-30,17.172
2020-10-31,17.386
2020-11-01,17.604
2020-11-02,17.81
2020-11-03,17.829
2020-11-04,17.814
2020-11-05,17.801
2020-11-06,17.768
2020-11-07,17.717
2020-11-08,17.717
2020-11-09,17.713
2020-11-10,17.705
2020-11-11,17.569
2020-11-12,17.544
2020-11-13,17.66
2020-11-14,17.641
2020-11-15,17.621
2020-11-16,17.601
2020-11-17,17.582
2020-11-18,17.765
2020-11-19,17.786
2020-11-20,17.811
2020-11-21,17.829
2020-11-22,17.901
2020-11-23,17.912
2020-11-24,17.889
2020-11-25,17.729
2020-11-26,17.578
2020-11-27,17.609
2020-11-28,17.647
2020-11-29,17.693
2020-11-30,17.747
2020-12-01,17.808
2020-12-02,17.876
2020-12-03,17.951
2020-12-04,18.031
2020-12-05,17.786
2020-12-06,17.701
2020-12-07,17.657
2020-12-08,17.589
2020-12-09,17.658
2020-12-10,17.771
2020-12-11,17.854
2020-12-12,18.001
2020-12-13,18.287
2020-12-14,18.967
2020-12-15,19.049
2020-12-16,19.124
2020-12-17,19.192
2020-12-18,19.251
2020-12-19,19.301
2020-12-20,19.341
2020-12-21,19.567
2020-12-22,19.876
2020-12-23,20.529
2020-12-24,20.548
2020-12-25,20.432
2020-12-26,20.228
2020-12-27,20.109
2020-12-28,19.976
2020-12-29,19.902
2020-12-30,19.876
2020-12-31,19.929
2021-01-01,19.901
2021-01-02,19.345
2021-01-03,18.871
2021-01-04,18.787
2021-01-05,18.701
2021-01-06,18.615
2021-01-07,18.529
2021-01-08,18.445
2021-01-09,18.364
2021-01-10,18.286
2021-01-11,18.212
